price,model_year,model,condition,cylinders,fuel,odometer,transmission,paint_color,is_4wd,date_posted,days_listed
10500,2020,truck,excellent,6.0,diesel,272582.0,automatic,grey,True,2022-01-09,4
1400,2010,van,fair,4.0,gas,238268.0,automatic,grey,False,2024-12-14,61
1100,2009,sedan,fair,6.0,gas,163482.0,automatic,black,False,2024-12-10,120
18200,2022,SUV,excellent,4.0,gas,37774.0,automatic,grey,True,2023-12-18,6
3700,2018,sedan,excellent,4.0,gas,237189.0,automatic,white,False,2023-12-09,28
7231,2008,SUV,fair,6.0,gas,155345.0,automatic,white,False,2024-11-07,85
2800,2012,sedan,good,6.0,gas,170170.0,automatic,grey,False,2022-07-28,38
1700,2008,truck,fair,8.0,diesel,313968.0,automatic,brown,True,2022-09-14,17
7200,2016,SUV,excellent,4.0,gas,142409.0,automatic,white,True,2024-12-10,169
3600,2014,van,fair,6.0,gas,96283.0,automatic,white,False,2022-04-22,68
500,2008,sedan,salvage,4.0,hybrid,207528.0,automatic,black,False,2024-03-26,6
2000,2009,pickup,fair,8.0,gas,187413.0,automatic,black,False,2024-04-05,55
12100,2018,SUV,good,8.0,gas,82830.0,automatic,blue,False,2024-09-05,40
21700,2021,SUV,excellent,6.0,diesel,32797.0,automatic,red,True,2022-03-29,7
1900,1992,truck,good,6.0,gas,474711.0,automatic,custom,True,2024-03-03,124
35100,2024,SUV,like new,4.0,gas,0.0,manual,silver,False,2024-10-09,86
22200,2023,sedan,like new,6.0,gas,9731.0,automatic,yellow,False,2024-04-11,68
15200,2022,sedan,excellent,6.0,gas,16865.0,automatic,red,False,2024-10-20,85
900,2011,van,salvage,6.0,gas,159498.0,automatic,white,False,2024-09-24,78
24000,2021,SUV,excellent,6.0,gas,44081.0,automatic,white,True,2022-08-27,23
5700,2016,van,good,6.0,gas,112092.0,manual,silver,False,2022-03-28,20
700,2005,hatchback,fair,4.0,gas,194074.0,automatic,black,False,2022-09-26,1
5000,2012,truck,fair,8.0,diesel,122771.0,automatic,silver,True,2022-07-30,83
3400,2014,truck,good,4.0,diesel,343662.0,automatic,red,True,2023-01-29,71
16900,2020,convertible,good,4.0,gas,41084.0,manual,black,False,2022-10-14,60
1500,2006,SUV,fair,8.0,gas,204707.0,automatic,red,True,2022-12-06,18
5000,2016,pickup,fair,4.0,gas,141568.0,automatic,black,True,2024-12-20,42
1900,2010,pickup,fair,4.0,gas,262419.0,automatic,silver,False,2023-08-24,14
1169,2016,sedan,excellent,4.0,gas,66855.0,automatic,white,False,2024-04-24,3
8400,2020,sedan,good,4.0,gas,56627.0,automatic,black,False,2024-12-13,7
800,2002,coupe,fair,4.0,gas,239922.0,automatic,white,False,2022-05-25,20
18600,2023,sedan,excellent,4.0,gas,12984.0,manual,grey,False,2022-01-23,35
500,2007,van,fair,6.0,gas,701098.0,automatic,white,False,2022-09-04,67
1900,2007,convertible,good,6.0,gas,256318.0,automatic,blue,False,2024-01-30,43
